    alpha        cl        cd
-0.349066 -0.567000  0.220350
-0.340339 -0.576000  0.208780
-0.331613 -0.583000  0.197380
-0.322886 -0.589000  0.189150
-0.314159 -0.591000  0.173760
-0.305433 -0.593000  0.163060
-0.296706 -0.592000  0.153240
-0.287979 -0.589000  0.144310
-0.279253 -0.584000  0.136120
-0.270526 -0.579000  0.132440
-0.261799 -0.568000  0.124460
-0.253073 -0.553000  0.117300
-0.244346 -0.536000  0.110460
-0.235619 -0.515000  0.103900
-0.226893 -0.491000  0.097360
-0.218166 -0.463000  0.090830
-0.209440 -0.432000  0.086430
-0.200713 -0.402000  0.077620
-0.191986 -0.372000  0.065940
-0.183260 -0.358000  0.039180
-0.174533 -0.320000  0.031430
-0.165806 -0.237000  0.065270
-0.157080 -0.192000  0.061660
-0.148353 -0.170000  0.024480
-0.139626 -0.116000  0.022620
-0.130900 -0.060000  0.021640
-0.122173 -0.003000  0.020830
-0.113446  0.055000  0.020140
-0.104720  0.114000  0.019530
-0.095993  0.174000  0.019070
-0.087266  0.234000  0.018650
-0.078540  0.295000  0.018240
-0.069813  0.359000  0.016740
-0.061087  0.422000  0.016340
-0.052360  0.486000  0.015970
-0.043633  0.547000  0.016030
-0.034907  0.608000  0.016130
-0.026180  0.669000  0.016300
-0.017453  0.729000  0.015850
-0.008727  0.790000  0.016080
 0.000000  0.851000  0.016300
 0.008727  0.911000  0.016600
 0.017453  0.971000  0.016900
 0.026180  1.031000  0.017210
 0.034907  1.090000  0.017620
 0.043633  1.150000  0.018100
 0.052360  1.209000  0.017750
 0.061087  1.267000  0.018270
 0.069813  1.325000  0.018870
 0.078540  1.381000  0.022220
 0.087266  1.433000  0.024070
 0.095993  1.482000  0.025560
 0.104720  1.528000  0.027570
 0.113446  1.570000  0.030330
 0.122173  1.611000  0.032700
 0.130900  1.647000  0.036150
 0.139626  1.684000  0.037910
 0.148353  1.718000  0.039940
 0.157080  1.746000  0.041830
 0.165806  1.770000  0.044040
 0.174533  1.790000  0.046310
 0.183260  1.805000  0.048830
 0.191986  1.815000  0.051440
 0.200713  1.820000  0.054370
 0.209440  1.815000  0.057770
 0.218166  1.805000  0.061190
 0.226893  1.789000  0.064780
 0.235619  1.766000  0.068980
 0.244346  1.738000  0.073590
 0.253073  1.702000  0.079420
 0.261799  1.632000  0.093180
 0.270526  1.498000  0.128190
 0.279253  1.400000  0.155410
 0.287979  1.365000  0.166040
 0.296706  1.327000  0.177000
 0.305433  1.291000  0.188240
 0.314159  1.253000  0.199730
 0.322886  1.213000  0.207930
 0.331613  1.174000  0.227140
 0.340339  1.134000  0.239040
 0.349066  1.095000  0.259620
 0.357792  1.056000  0.265430
 0.366519  1.017000  0.289050
 0.375246  0.980000  0.305260
 0.383972  0.942000  0.316490
 0.392699  0.906000  0.330070
 0.401426  0.871000  0.338100
 0.410152  0.837000  0.370960
 0.418879  0.804000  0.392770
 0.427606  0.773000  0.405950
 0.436332  0.742000  0.427680
 0.445059  0.713000  0.462520
 0.453786  0.685000  0.473570
 0.462512  0.658000  0.498230
 0.471239  0.632000  0.516360
 0.479966  0.607000  0.522620
 0.488692  0.584000  0.583590
 0.497419  0.561000  0.598820
 0.506145  0.540000  0.610990
 0.514872  0.519000  0.623360
 0.523599  0.500000  0.624070
 0.532325  0.481000  0.706610
 0.541052  0.464000  0.756750
 0.549779  0.447000  0.739690
 0.558505  0.431000  0.786910
 0.567232  0.415000  0.825330
 0.575959  0.401000  0.832670
 0.584685  0.386000  0.899830
 0.593412  0.372000  0.899600
 0.602139  0.358000  0.944880
 0.610865  0.346000  0.901580
 0.619592  0.333000  0.950270
 0.628319  0.322000  0.989270
 0.637045  0.311000  1.027220
 0.645772  0.300000  1.086090
 0.654498  0.290000  1.052470
 0.663225  0.280000  1.122140
 0.671952  0.271000  1.163980
 0.680678  0.263000  1.211530
 0.689405  0.254000  1.147280
 0.698132  0.246000  1.229520
